Date,Price 10g (in INR),GGP (LBMA),USD to INR,Import duty,Inflation Rate (CPI),NIF
05-06-2023,59805.0,1942.5,82.512,15,4.87,18593.84961
06-06-2023,59902.0,1961.9,82.518,15,4.87,18599.0
07-06-2023,59511.0,1963.05,82.618,15,4.87,18726.40039
08-06-2023,59809.0,1947.25,82.492,15,4.87,18634.55078
09-06-2023,59777.0,1963.55,82.425,15,4.87,18563.40039
10-06-2023,59777.0,1963.55,82.425,15,4.87,18563.40039
11-06-2023,59777.0,1963.55,82.425,15,4.87,18563.40039
12-06-2023,59595.0,1964.15,82.337,15,4.87,18601.5
13-06-2023,59222.0,1964.0,82.291,15,4.87,18716.15039
14-06-2023,59249.0,1951.9,82.045,15,4.87,18755.90039
15-06-2023,59249.0,1934.65,81.913,15,4.87,18688.09961
16-06-2023,59249.0,1964.1,81.907,15,4.87,18826.0
17-06-2023,59249.0,1964.1,81.907,15,4.87,18826.0
18-06-2023,59249.0,1964.1,81.907,15,4.87,18826.0
19-06-2023,59043.0,1954.35,81.981,15,4.87,18755.44922
20-06-2023,58721.0,1953.85,81.992,15,4.87,18816.69922
21-06-2023,58630.0,1935.25,81.941,15,4.87,18856.84961
22-06-2023,58144.0,1927.95,81.925,15,4.87,18771.25
23-06-2023,58188.0,1919.35,81.958,15,4.87,18665.5
24-06-2023,58188.0,1919.35,81.958,15,4.87,18665.5
25-06-2023,58188.0,1919.35,81.958,15,4.87,18665.5
26-06-2023,58256.0,1930.55,81.958,15,4.87,18691.19922
27-06-2023,58015.0,1923.95,81.958,15,4.87,18817.40039
28-06-2023,57796.0,1909.85,81.958,15,4.87,18972.09961
29-06-2023,57578.0,1904.05,81.958,15,4.87,18972.09961
30-06-2023,58020.0,1903.55,81.958,15,4.87,19189.05078
01-07-2023,58020.0,1903.55,81.958,15,7.44,19189.05078
02-07-2023,58020.0,1903.55,81.958,15,7.44,19189.05078
03-07-2023,58119.0,1913.75,81.958,15,7.44,19322.55078
04-07-2023,58194.0,1929.75,82.011,15,7.44,19389.0
05-07-2023,58308.0,1928.3,82.395,15,7.44,19398.5
06-07-2023,58385.0,1919.15,82.768,15,7.44,19497.30078
07-07-2023,58747.0,1915.65,82.66,15,7.44,19331.80078
08-07-2023,58747.0,1915.65,82.66,15,7.44,19331.80078
09-07-2023,58747.0,1915.65,82.66,15,7.44,19331.80078
10-07-2023,58635.0,1925.05,82.526,15,7.44,19355.90039
11-07-2023,58737.0,1936.2,82.401,15,7.44,19439.40039
12-07-2023,59113.0,1935.75,81.978,15,7.44,19384.30078
13-07-2023,59185.0,1959.6,82.029,15,7.44,19413.75
14-07-2023,59229.0,1956.5,82.134,15,7.44,19564.5
15-07-2023,59229.0,1956.5,82.134,15,7.44,19564.5
16-07-2023,59229.0,1956.5,82.134,15,7.44,19564.5
17-07-2023,59061.0,1955.05,82.055,15,7.44,19711.44922
18-07-2023,59633.0,1961.95,82.076,15,7.44,19749.25
19-07-2023,59683.0,1978.15,82.061,15,7.44,19833.15039
20-07-2023,59459.0,1981.5,82.083,15,7.44,19979.15039
21-07-2023,59221.0,1963.8,82.003,15,7.44,19745.0
22-07-2023,59221.0,1963.8,82.003,15,7.44,19745.0
23-07-2023,59221.0,1963.8,82.003,15,7.44,19745.0
24-07-2023,59013.0,1964.75,82.003,15,7.44,19672.34961
25-07-2023,59120.0,1963.1,82.003,15,7.44,19680.59961
26-07-2023,59347.0,1972.0,82.003,15,7.44,19778.30078
27-07-2023,58878.0,1975.2,82.003,15,7.44,19659.90039
28-07-2023,59288.0,1950.15,82.003,15,7.44,19646.05078
29-07-2023,59288.0,1950.15,82.003,15,7.44,19646.05078
30-07-2023,59288.0,1950.15,82.003,15,7.44,19646.05078
31-07-2023,59628.0,1955.55,82.003,15,7.44,19753.80078
01-08-2023,59048.0,1956.75,82.339,15,6.83,19733.55078
02-08-2023,59117.0,1949.7,82.667,15,6.83,19526.55078
